fields.centroid;Année;Type EPCI;CODE GRAND SECTEUR;Code Departement;fields.nombre_de_mailles_secretisees;Nom COMMUNE;Nom Departement;Code EPCI;Code Region;Code COMMUNE;CODE SECTEUR NAF2;CODE CATEGORIE CONSOMMATION;Nb sites;Nom Region;Conso moyenne (MWh);Conso totale (MWh);Nom EPCI;geometry.type;geometry_coord;Superficie des logements 30 à 40 m2;Residences principales apres 2016;Residences principales de 2006 a 2015;Residences principales de 1991 a 2005;Superficie des logements 60 à 80 m2;Residences principales de 1946 a 1970;Residences principales avant 1919;Residences principales de 1971 a 1990;Superficie des logements 40 à 60 m2;Superficie des logements < 30 m2;Nombre d'habitants;Taux de logements collectifs;Residences principales de 1919 a 1945;Superficie des logements > 100 m2;Taux de résidences principales;Superficie des logements 80 à 100 m2;Taux de chauffage électrique;Conso moyenne usages thermosensibles (MWh);Conso moyenne corrigée de l'aléa climatique  usages thermosensibles (MWh);DJU à TR;Conso totale corrigée de l'aléa climatique  usages thermosensibles (MWh);Part thermosensible (%);Conso totale  usages thermosensibles (MWh);Thermosensibilité totale (kWh/DJU);Conso totale  usages non thermosensibles (MWh);Thermosensibilité moyenne (kWh/DJU);Conso moyenne  usages non thermosensibles (MWh);DJU à TN
[45.452309279, 6.324871433];2018;CC;TERTIAIRE;73;0;Épierre;Savoie;247300676;84;73109;46;ENT;1.0;Auvergne-Rhône-Alpes;188.1590176968959;188.1590176968959;CC Porte de Maurienne;Point;[6.324871433, 45.452309279];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.165994781, 6.272245816];2018;CC;INDUSTRIE;73;0;Saint-Jean-d'Arves;Savoie;200070464;84;73242;10;ENT;2.0;Auvergne-Rhône-Alpes;63.9975081921782;127.9950163843564;CC Coeur de Maurienne Arvan;Point;[6.272245816, 45.165994781];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.165994781, 6.272245816];2018;CC;INDUSTRIE;73;0;Saint-Jean-d'Arves;Savoie;200070464;84;73242;35;ENT;1.0;Auvergne-Rhône-Alpes;0.1385;0.1385;CC Coeur de Maurienne Arvan;Point;[6.272245816, 45.165994781];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.165994781, 6.272245816];2018;CC;TERTIAIRE;73;0;Saint-Jean-d'Arves;Savoie;200070464;84;73242;;PRO;202.0;Auvergne-Rhône-Alpes;5.583853426729332;1127.938392199325;CC Coeur de Maurienne Arvan;Point;[6.272245816, 45.165994781];;;;;;;;;;;;;;;;;;;;;;;;;;;;
;2018;CC;INDUSTRIE;73;0;Saint-Jean-de-Belleville;Savoie;200023299;84;73244;43;ENT;1.0;Auvergne-Rhône-Alpes;155.2289582435007;155.2289582435007;CC Coeur de Tarentaise;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.559479714, 6.119518587];2018;CC;TERTIAIRE;73;0;Saint-Jean-de-la-Porte;Savoie;200041010;84;73247;37;ENT;1.0;Auvergne-Rhône-Alpes;267.9581771703625;267.9581771703625;CC Coeur de Savoie;Point;[6.119518587, 45.559479714];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.559479714, 6.119518587];2018;CC;TERTIAIRE;73;0;Saint-Jean-de-la-Porte;Savoie;200041010;84;73247;68;ENT;1.0;Auvergne-Rhône-Alpes;88.84039796835116;88.84039796835116;CC Coeur de Savoie;Point;[6.119518587, 45.559479714];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.533000974, 5.989602581];2018;CA;INDUSTRIE;73;0;Saint-Jeoire-Prieuré;Savoie;200069110;84;73249;;PRO;35.0;Auvergne-Rhône-Alpes;4.987284560150214;174.5549596052575;CA Chambéry Métropole-Coeur des Bauges;Point;[5.989602581, 45.533000974];;;;;;;;;;;;;;;;;;;;;;;;;;;;
[45.280281106, 6.417534725];2018;CC;RESIDENTIEL;73;0;Saint-Julien-Mont-Denis;Savoie;200070464;84;73250;;RES;58.0;Auvergne-Rhône-Alpes;1.8197665585197638;105.5464603941463;CC Coeur de Maurienne Arvan;Point;[6.417534725, 45.280281106];2.47252580499557;0.274728155007659;9.61538886001128;12.5;20.3296627499799;28.0219821150109;7.69230556999436;37.9120853349932;9.34066070500362;0.686813490000806;1636.0;20.2744977492465;3.98350996498268;39.4230832900169;78.7282508518505;27.7472539600032;18.4065932549996;;;;;;;;;;;
;2018;CC;INCONNU;73;0;Saint-Maurice-de-Rotherens;Savoie;247300528;84;73260;;PRO;5.0;Auvergne-Rhône-Alpes;10.180789433352318;50.90394716676159;CC Val Guiers;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
